Cu_Content_at%,Temperature_C,Hardness_HV,Nanoindentation_Hardness_GPa
0,400,197.89836292750425,9.089230254400332
1,400,208.20783305805415,10.25715425901364
2,400,218.58730240774705,11.474151105346817
3,400,228.98086397099507,12.725388541287847
4,400,239.3308989523831,13.99754321433091
5,400,249.57884751444928,15.279240097954606
6,400,259.6660178682765,16.561562438927655
7,400,269.53441677384063,17.838398972316053
8,400,279.1275835467541,19.10658468143902
9,400,288.3914092088395,20.36582117069941
10,400,297.2749224976292,21.61838120739869
11,400,305.7310250709857,22.868617738282524
12,400,313.7171593944518,24.122311447658973
13,400,321.1958944482176,25.385902256834843
14,400,328.1354164871529,26.665658467345867
15,400,334.5099145643804,27.966842018014088
16,400,340.2998533059275,29.292929245341192
17,400,345.49212841014787,30.64494352935756
18,400,350.08010344284736,32.02094944262097
19,400,354.0635296060745,33.41574791101973
20,400,367.448353174402,34.82079907279174
21,400,370.2464181203384,36.22438479829132
22,400,372.4750740007989,33.41200714800292
23,400,374.1567013702467,34.76700340933532
24,400,375.31816875715367,36.07134377664647
25,400,375.9902365377376,37.306565174415766
26,400,376.20692382995526,38.45478499703255
27,400,376.0048547942754,39.49973229863891
28,400,375.4226004663596,40.42773164043364
29,400,374.500031478482,41.22857656943508
30,400,373.27769578618086,41.89623547959332
31,400,371.7962338547521,42.429342055016775
32,400,370.0958417413116,42.83143504314874
33,400,368.21579020890965,43.11092698231504
34,400,366.194005516012,43.280797793752754
35,400,364.06671493115545,43.35802583332703
36,400,361.86815742668426,43.36278504654925
37,400,359.6303575062758,43.31745128491762
38,400,357.3829578155378,43.24547272579523
39,400,355.1531041648732,43.17016795248365
40,400,382.9653749417059,43.113520058366944
41,400,380.841745675388,43.095035836153
42,400,378.8015787974322,43.13073564996822
43,400,376.8616284484569,43.232332168738495
44,400,375.0360505367733,40.30664520968339
45,400,373.336409144469,40.55528616011065
46,400,371.7716717739145,40.874629646063774
47,400,370.3481877755713,41.25607325166599
48,400,369.0696465184939,41.68656918098871
49,400,367.9370143585968,42.149395814915806
50,400,366.94845210936967,42.6251231093217
51,400,366.09921739450255,43.09271455110352
52,400,365.3815588228717,43.53070061017101
53,400,364.7846112326317,43.91835476439144
54,400,364.2943031666303,44.236803459502205
55,400,363.8932891418072,44.47000577470609
56,400,363.5609200553469,44.60554682449401
57,400,363.2732651502253,44.63520053170323
58,400,363.00319829359165,44.555231645898765
59,400,362.7205598897585,44.36642288420937
60,400,422.39240358018543,44.073829860291006
61,400,421.9833340395272,43.68628301450014
62,400,421.45593876116766,47.01567105268628
63,400,420.77131287371066,46.476053507206025
64,400,419.889671906743,45.88266015142217
65,400,418.7710432166292,45.25084151198576
66,400,417.3760226909002,44.59503723826739
67,400,415.6665795756628,43.92782745953794
68,400,413.6068890095695,43.25912659890757
69,400,411.1641692774152,42.5955697798859
70,400,408.3094990656303,41.94012954595223
71,400,405.0185892235916,41.29198589628102
72,400,401.2724837781698,40.64665654489777
73,400,397.058166235676,39.99637784401984
74,400,392.3690495067005,39.33071100477256
75,400,387.2053310271414,38.63733408652765
76,400,381.5741986988096,37.90296859157757
77,400,375.48987797101313,37.11438111637815
78,400,368.9735155340941,36.259395890485386
79,400,362.0529004785282,35.32785345844343
80,400,354.7620291594432,34.312454252537144
81,400,347.14052516745016,33.20943313422412
82,400,339.2329305258904,32.01902167753308
83,400,331.08788831824285,27.945668347009484
84,400,322.7572402360094,26.598001937649027
85,400,264.29506490496175,25.188539733880106
86,400,255.75668421901173,23.733157796656357
87,400,247.1976652561979,22.250355602210373
88,400,238.67284468768435,20.76036000879416
89,400,230.23540098025,19.28412342863484
90,400,221.9359972374156,17.842277525367088
